SMILES,pIC50
CCOc1nn(-c2cccc(OCc3ccccc3)c2)c(=O)o1,6.1249
O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC1CC1,7.0000
O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F,6.5229
CSc1nc(-c2ccc(OC(F)(F)F)cc2)nn1C(=O)N(C)C,4.8979
CSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)c1ccccc1,5.6198
CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,7.0000
COc1ccc(-c2nc(SC)n(C(=O)N(C)C)n2)cc1,6.0969
CSc1nc(-c2ccc3ccccc3c2)nn1C(=O)N(C)C,7.3010
CSc1nc(-c2ccc(-c3ccccc3)cc2)nn1C(=O)N(C)C,6.2518
CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)c1ccccc1,5.8539
Cc1c(C(C)C)c(=O)on1C(=O)N1CCC[C@H](C)C1,4.7696
CCSc1nc(-c2ccc(OC)cc2)nn1C(=O)N(C)c1ccccc1,5.9586
CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCCCC1,7.5850
CSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)C,6.0969
CCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,7.2518
CCCCCCSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)C,6.6990
CCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,6.5229
Cc1ccc(-c2nc(SCC(F)(F)F)n(C(=O)N(C)C)n2)cc1,6.6990
CSc1nc(-c2ccc(C(F)(F)F)cc2)nn1C(=O)N(C)C,6.3010
CCN(CC)CCS/C(=N\O)C(=O)c1ccc(OC)cc1,3.5850
CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1.[Br-],7.3468
CN1CC[C@@]2(C)c3cc(OC(=O)NCCCN4CCOCC4)ccc3N(C)[C@@H]12,5.4202
CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,7.3979
N#CC(C#N)=C1Nc2ccccc2N1CCNCc1ccc(CN2CCCCC2)o1,7.1367
COc1cc(N)c(Cl)cc1C(=O)NCCNCc1ccc(CN(C)C)o1,5.5086
CCN(CC)CCS/C(=N\O)C(=O)c1ccc(Cl)cc1.Cl,3.2840
CN1CCN(Cc2ccc(CNCCN3CCNC3=C(C#N)C#N)o2)CC1,5.3468
Oc1nc2ccccc2n1CCNCc1ccc(CN2CCCCC2)o1,5.9208
CC1CCCCN1Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1,6.2676
N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCCCC2)o1,7.5229
CNC(NCCNCc1ccc(CN2CCCCC2)o1)=C(C#N)C#N.Cl,6.0809
N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCC(O)CC2)o1,6.4089
CN(C)Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1,6.4089
CCN(C)Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1,6.3665
CCN(CC)Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1.Cl,6.2218
CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCN4CCOCC4)ccc3N(C)[C@@H]12,4.6778
CCCCCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,7.6576
CN1CC[C@@]2(C)c3cc(OC(=O)NCCN4CCOCC4)ccc3N(C)[C@@H]12,6.1549
NC(=O)c1cc[n+](COC[n+]2ccccc2/C=N/O)cc1.[Cl-].[Cl-],4.0506
CNC(NCCNCc1ccc(CN(C)C)o1)=C(C#N)C#N,6.2007
CNC(NCCNCc1ccc(CN(C(C)C)C(C)C)o1)=C(C#N)C#N,5.6778
CC(C)N(CCS/C(=N\O)C(=O)c1ccc(Cl)cc1)C(C)C.Cl,3.4815
C[n+]1ccccc1C=NO,3.2518
CC1CCN(Cc2ccc(CNCCN3CCNC3=C(C#N)C#N)o2)CC1,6.5376
CCN(CC)CCS/C(=N\O)C(=O)c1ccc(Br)cc1.Cl,3.6778
CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,7.3979
N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCCC2)o1,7.0969
Cl.N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CC=CCC2)o1,7.0223
CN(C)CCS/C(=N\O)C(=O)c1ccc(Br)cc1.Cl,3.1487
CCN(CC)CCS/C(=N\O)C(=O)c1ccc(C#N)cc1.Cl,3.7447
CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,7.2218
CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,7.1549
CNC(NCCNCc1ccc(CN2CCCC2)o1)=C(C#N)C#N,6.5528
N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCOCC2)o1,4.9586
N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCSCC2)o1,5.8239
CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,5.9127
CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,6.0315
CC1CCCN(Cc2ccc(CNCCN3CCNC3=C(C#N)C#N)o2)C1,6.4318
CC1CCCC(C)N1Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1,5.3468
CC[N+](C)(CC)CCS/C(=N\O)C(=O)c1ccc(F)cc1.[Cl-],3.1427
CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,7.3665
CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,5.1192
CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,7.0969
CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,6.4202
COC1CCCN(Cc2ccc(CNCCN3CCNC3=C(C#N)C#N)o2)C1.Cl,5.4815
N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCCC(O)C2)o1,6.4318
C/N=c1\c(O)c(O)\c1=N/CCNCc1ccc(CN2CCCCC2)o1,5.0315
Cl.N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCCCCC2)o1,6.9208
COc1ccccc1CNCCCCCCNCCSSCCNCCCCCCNCc1ccccc1OC,5.1400
COc1ccccc1CNCCCCCCNCCCCCCCNCCCCCCNCc1ccccc1OC,5.3500
COc1ccccc1CN(C)CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(C)Cc1ccccc1OC,6.7700
COc1ccccc1CNCCCCCCNCCCCCCNCCCCCCNCc1ccccc1OC,5.1900
CCC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3[C@@H](C1)C2,9.1739
COc1ccccc1CNCCCCCCNCCCCCCCCNCCCCCCNCc1ccccc1OC,5.2700
CC[N+](C)(C)c1cccc(O)c1.[Br-],6.1080
COc1ccccc1CNCCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCNCc1ccccc1OC,6.5100
NCCCCCCNCCSSCCNCCCCCCN,3.3000
Nc1c2c(nc3ccccc13)CCCC2,6.6990
COc1ccccc1CNCCCCCC(=O)NCCCCCCCCNC(=O)CCCCCNCc1ccccc1OC,5.7300
COc1ccccc1CNCCCCCCNCCCCCNCCCCCCNCc1ccccc1OC,5.1400
NC12CC(C(F)(F)F)=CC(Cc3nc(O)ccc31)/C2=C\C(F)(F)F,5.5229
C[n+]1ccn(COCC(C)(C)[N+](=O)[O-])c1/C=N/O.[Cl-],4.9747
C/C=C1\C2C=C(C(F)(F)F)CC1(N)c1ccc(O)nc1C2,6.3979
C/C=C1\[C@H]2C=C(C)C[C@]1(N)c1ccc(=O)[nH]c1C2,7.3279
Nc1c2c(nc3ccccc13)-c1ccccc1CO2,3.6108
C[n+]1ccccc1/C=N/O.[Cl-],3.6676
Nc1cc(-c2ccccc2)nc2ccccc12,4.9401
CN(CCn1cc[n+](C)c1/C=N/O)S(C)(=O)=O.[Cl-],5.1675
C[n+]1ccn(COCCS(C)(=O)=O)c1/C=N/O.[Cl-],4.5768
CC1=CC2Cc3nc(O)ccc3C(N)(C1)/C2=C/C(F)(F)F,5.6990
Nc1c2c(nc3ccccc13)-c1ccccc1C2,6.1701
Nc1c2c(nc3ccccc13)-c1ccccc1CC2,4.9788
Nc1c2c(nc3ccccc13)-c1ccccc1CS2,4.7310
C[n+]1ccn(CCN2CCCC2)c1/C=N/O.[Cl-],4.7471
C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NCc3ccccc3)c(Br)c21,5.3778
COc1cc2cc(C(=O)CC(O)C3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC.[Br-],6.7212
C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Cl)c21,6.6383
COc1cc2cc(C(=O)CC3=CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC.[Br-],6.1249
COc1cc2cc(C(=O)CCc3cc[n+](Cc4ccccc4)cc3)sc2cc1OC,7.6708
COc1cc2cc(C(=O)CCC3CC[N+](C)(CCOc4ccccc4)CC3)sc2cc1OC.[Br-],6.4089
CCC[n+]1ccc(CCC(=O)c2cc3cc(OC)c(OC)cc3s2)cc1.[Br-],5.5901
COc1cc2cc(C(=O)CCc3cc[n+](CC4CCC4)cc3)sc2cc1OC.[Br-],6.5812
C/N=C1/CCc2c1n(C)c1cc(Cl)c(OC(=O)NC)cc21,6.1739
COc1cc2cc(C(=O)CCCCC3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC.[Br-],6.9586
CC[n+]1ccc(CCC(=O)c2cc3cc(OC)c(OC)cc3s2)cc1.[Br-],6.5528
CNC(=O)Oc1ccc2c(c1)c1c(n2C)/C(=N\CCc2ccccc2)CC1,6.7959
CCCn1c2c(c3c(Br)c(OC(=O)NC)ccc31)CC/C2=N/CC,6.6383
COc1cc2cc(C(O)C3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC.[Br-],4.7082
COCC[N+]1(C)CCC(CCC(=O)c2cc3cc(OC)c(OC)cc3s2)CC1.[Br-],7.2757
COC(=O)c1ccc(C[n+]2ccc(CCC(=O)c3cc4cc(OC)c(OC)cc4s3)cc2)cc1,5.8886
CCCCNC(=O)Oc1ccc2c(c1Br)c1c(n2C)/C(=N\C)CC1,5.4989
COc1cc2cc(C(=O)C=C3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC.[Br-],5.6996
COc1cc2cc(C(=O)CCc3cc[n+](Cc4ccc(F)cc4)cc3)sc2cc1OC,7.1838
COc1cc2cc(C(=O)CC(OC)C3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC.[Br-],6.5540
COc1cc2cc(C(=O)CCc3cc[n+](CC4CC4)cc3)sc2cc1OC.[Br-],6.9586
C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)cc21,5.4737
COc1cc2cc(C(=O)CC3(O)CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC.[Br-],6.0356
COc1cc2cc(C(=O)CCC3CC[N+](C)(CC4CCCCO4)CC3)sc2cc1OC.[Br-],7.5528
COc1cc2cc(C(=O)CCc3cc[n+](C)cc3)sc2cc1OC.[Br-],5.8239
COCC[n+]1ccc(CCC(=O)c2cc3cc(OC)c(OC)cc3s2)cc1,7.0302
COc1cc2cc(C(=O)CC(O)CCC3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC.[Br-],5.8003
COc1cc2cc(C(=O)CCc3cc[n+](Cc4ccsc4)cc3)sc2cc1OC,6.8952
CC/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Br)c21,6.8539
C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Br)c21,6.7447
COC(=O)C[N+]1(C)CCC(CCC(=O)c2cc3cc(OC)c(OC)cc3s2)CC1.[Br-],7.2676
COc1cc2cc(C(=O)CCC3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC.[Br-],7.9091
COc1cc2cc(CC3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC.[Br-],5.0000
CC/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Cl)c21,6.7959
CCC/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)cc21,5.4157
C=CC[n+]1ccc(CCC(=O)c2cc3cc(OC)c(OC)cc3s2)cc1.[Br-],6.2676
CCOCC[n+]1ccc(CCC(=O)c2cc3cc(OC)c(OC)cc3s2)cc1,8.1549
C/N=C1/CCc2c1n(C)c1ccc(OC(=O)N(C)C)c(Br)c21,7.2218
COc1cc2cc(C=C3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC.[Br-],5.5735
COc1cc2cc(C(=O)CCc3cc[n+](Cc4ccc([N+](=O)[O-])o4)cc3)sc2cc1OC.[Br-],6.9601
CC/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)cc21,5.2457
COc1cc2cc(C(=O)CCC3CC[N+](C)(Cc4ccc([N+](=O)[O-])o4)CC3)sc2cc1OC.[Br-],7.4949
COc1cc2cc(C(=O)CCC3CC[N+](C)(CC(=O)OC(C)(C)C)CC3)sc2cc1OC.[Br-],7.1024
CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCNC1N2,7.9626
C[C@@]12CCNC1Nc1ccc(OC(=O)Nc3ccccc3)cc12,7.6556
CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)C1N2Cc1ccccc1,6.7934
Nc1c2c(nc3ccccc13)C1CCC2C1,7.5000
CN1c2ccc(OC(=O)Nc3ccccc3)cc2[C@]2(C)CCNC12,7.8601
CN1CC[C@@]2(C)c3cc(OC(=O)Nc4ccccc4)ccc3NC12,7.3893
CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(Cc3ccccc3)C1N2Cc1ccccc1,5.9626
Nc1c2c(nc3c(Cl)cccc13)CCCC2,7.1609
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,7.7330
CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCNC1N2C,7.6778
Nc1c2c(nc3cccc(Cl)c13)CCCC2,8.0269
CNC(=O)Oc1ccc2c(c1)[C@@]1(C)CCN(C)C1N2C,5.0049
CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(Cc3ccccc3)C1N2C,6.4815
CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)C1N2,7.2464
Nc1c2c(nc3ccccc13)CCCC2O,6.1537
Nc1c2c(nc3cc(Cl)ccc13)C1CCC2C1,8.3484
Nc1c2c(nc3cc(Cl)ccc13)CCCC2,7.8665
Nc1c2c(nc3c(Cl)cccc13)C1CCC2C1,7.0721
CN1CC[C@@]2(C)c3cc(OC(=O)Nc4ccccc4)ccc3N(C)C12,7.6198
CN1CC[C@]2(C)c3cc(OC(=O)Nc4ccccc4)ccc3N(C)C12,5.4559
C[C@]12CCNC1Nc1ccc(OC(=O)Nc3ccccc3)cc12,6.6364
CNC(=O)Oc1ccc2c(c1)[C@@]1(C)CCNC1N2,5.8268
C[C@@]12CCN(Cc3ccccc3)C1N(Cc1ccccc1)c1ccc(OC(=O)Nc3ccccc3)cc12,4.3858
CNC(=O)Oc1ccc2c(c1)[C@@]1(C)CCN(Cc3ccccc3)C1N2Cc1ccccc1,5.4486
Nc1c2c(nc3cccc(Cl)c13)C1CCC2C1,7.3723
Nc1c2c(nc3ccc(Cl)cc13)CCCC2,6.2596
Nc1c2c(nc3ccc(Cl)cc13)C1CCC2C1,5.9593
Cl.Cl.O.c1ccc(CN2CCC(CCOc3ccc(-c4ccccc4)nn3)CC2)cc1,6.1487
Nc1c2c(nc3c1CCCO3)CCCC2,6.3420
COc1cccc2nc3c(c(N)c12)CCCC3,6.2106
Cl.Cl.c1ccc(CN2CCC(CCNc3ccc(-c4ccccc4)nn3)CC2)cc1,6.8539
Cl.Cl.O.c1ccc(CN2CCC(CCNc3cc4c(nn3)-c3ccccc3CCC4)CC2)cc1,6.9208
Nc1c2c(nc3cccc(F)c13)OCCC2,6.4750
Nc1c2c(nc3cnccc13)OCCC2,5.8784
Cl.Cl.O.c1ccc(CN2CCC(CCNc3cc4ccc5ccccc5c4nn3)CC2)cc1,6.7212
Nc1c2c(nc3c1CCCC3)CCCC2,6.4437
Cc1cccc2nc3c(c(N)c12)CCCC3,7.0044
Cl.O.c1ccc(CN2CCC(CCN=c3cc4c(n[nH]3)-c3ccccc3C4)CC2)cc1,7.1308
Nc1c2c(nc3ccc(Cl)cc13)OCCC2,5.0042
Nc1c2c(nc3cccc(F)c13)CCCC2,7.1040
Nc1c2c(nc3ncccc13)CCCC2,6.3675
Nc1c2c(nc3c1CCC3)CCCC2,6.1818
Cl.Cl.c1ccc(CN2CCC(CCSc3ccc(-c4ccccc4)nn3)CC2)cc1,6.3279
Nc1c2c(nc3ncccc13)OCCC2,5.2016
Nc1c2c(nc3cnccc13)CCCC2,5.5850
COc1cccc2nc3c(c(N)c12)CCCO3,6.2175
Nc1c2c(nc3ccccc13)OCCC2,6.5776
Cc1cc(=NCCC2CCN(Cc3ccccc3)CC2)[nH]nc1-c1ccccc1.Cl.Cl.O,7.4089
CCc1cc(=NCCC2CCN(Cc3ccccc3)CC2)[nH]nc1-c1ccccc1.Cl.Cl.O,7.1805
Cl.Cl.O.c1ccc(CN2CCC(CCNc3cc4c(nn3)-c3ccccc3CC4)CC2)cc1,6.7212
Nc1c2c(nc3cccc(Cl)c13)OCCC2,6.5045
Nc1c2c(nc3c1CCCO3)CCC2,5.9508
Cc1cccc2nc3c(c(N)c12)CCCO3,6.8239
C=CCC[N+](C)(C)c1ccccc1O.[Br-],5.0000
COc1ccc(C(=O)COc2ccc([N+](C)(C)Cc3ccccc3)cc2)cc1OC.[Br-],5.0000
COc1ccc(C(=O)CCc2ccc([N+](C)(C)C)cc2)cc1OC.[Br-],5.5229
COc1ccc(C(=O)CCc2ccc([N+](C)(C)Cc3ccccc3)cc2)cc1OC.[Br-],5.8861
C=CC[N+](C)(C)c1cccc(O)c1.[Br-],5.5229
C=CC[N+](C)(C)c1cccc(OC(C)=O)c1.[Br-],6.0000
C=CC[N+](C)(C)c1ccc(OCC(=O)c2ccc(OC)c(OC)c2)cc1.[Br-],5.0000
COc1ccc(C(=O)CCc2cccc([N+](C)(C)Cc3ccccc3)c2)cc1OC.[Br-],5.9830
C=CC[N+](C)(C)c1ccccc1O.[Br-],5.7328
COc1ccc(C(=O)COc2cccc([N+](C)(C)C)c2)cc1OC.[Br-],5.0000
COc1ccc(C(=O)COc2cccc([N+](C)(C)Cc3ccccc3)c2)cc1OC.[Br-],6.4815
COc1ccc(C(=O)COc2ccc([N+](C)(C)C)cc2)cc1OC.[Br-],5.0000
C=CC[N+](C)(C)c1ccccc1OC.[Br-],6.0000
CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN[C@@H]1N2C,7.6580
CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(CCc3ccccc3)[C@@H]1N2C,6.7407
COc1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CCN(C)[C@@H]2N3C)cc1,6.5471
CCCCCCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,7.8099
CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(Cc3ccccc3)[C@@H]1N2C,6.4815
C=CCN1CC[C@@]2(C)c3cc(OC(=O)NC)ccc3N(C)[C@@H]12,7.4208
CN1CC[C@@]2(C)c3cc(OC(=O)NC(C)(C)C)ccc3N(C)[C@@H]12,4.5666
CN(C)C(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,6.6778
CN1CC[C@@]2(C)c3cc(OC(=O)Nc4ccccc4)ccc3N(C)[C@@H]12,7.6377
COc1ccc(C(=O)n2cc(/C=C3\CN(Cc4ccccc4)CCC3=O)c3ccccc32)cc1,4.1549
O=C1CCN(Cc2ccccc2)C/C1=C\c1cccn1C(=O)c1ccccc1,4.5229
O=C1/C(=C/c2ccc[nH]2)CN(Cc2ccccc2)C/C1=C\c1ccc[nH]1,4.7447
N#Cc1ccc(C(=O)n2cc(/C=C3\CN(Cc4ccccc4)CCC3=O)c3ccccc32)cc1,4.6990
O=C1/C(=C/c2cc[nH]c2)CN(Cc2ccccc2)C/C1=C\c1cc[nH]c1,5.2218
