SMILES,pIC50
c1cnc(N2CCN(Cc3cccc4c3Cc3ccccc3-4)CC2)nc1,5.2518
COc1ccc(-c2cccc(CN3CCN(c4ncccn4)CC3)c2)cc1,7.1427
CN1C2CCC1CC(OC(c1ccc(F)cc1)c1ccc(F)cc1)C2,6.8386
O=C(NCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cccc2c1-c1ccccc1C2=O,7.4437
c1ccc(N2CCN(CCCn3c4ccccc4c4ccccc43)CC2)cc1,5.6162
Oc1nc2c(N3CCN(Cc4ccccc4)CC3)cccc2[nH]1,7.2480
Fc1ccc(-c2cncc(CN3CCN(c4ccccc4F)CC3)c2)cc1,8.0969
O=C(NCCCN1CCN(c2ccccc2)CC1)c1cccc2c1-c1ccccc1C2=O,6.3665
O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc2c(c1)-c1ccccc1-2,9.0458
O=C(NCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cccc2c1Cc1ccccc1-2,6.7696
COc1ccccc1-c1cccc(CN2CCN(c3ncccn3)CC2)c1,6.1487
c1cnc(N2CCN(Cc3cccc(-c4ccsc4)c3)CC2)nc1,6.6990
Fc1ccc(-c2cncc(CN3CCN(c4ccc(F)cc4)CC3)c2)cc1,6.6990
O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc2c(c1)-c1ccccc1C2,8.8539
O=C1Cc2c(ccc(Cl)c2N2CCN(Cc3ccccc3)CC2)N1,6.2282
Fc1ccc(C(OC2CC3CCC(C2)N3Cc2ccc(Cl)c(Cl)c2)c2ccc(F)cc2)cc1,6.5575
COc1ccc(NS(=O)(=O)c2ccc(Br)cc2)cc1N1CCN(C)CC1,6.1000
O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cccc2c1-c1ccccc1C2=O,8.3979
Fc1ccc(-c2cccc(CN3CCN(c4ncccn4)CC3)c2)cc1,7.2291
COc1ccc(NS(=O)(=O)c2sc3ccc(Cl)cc3c2C)cc1N1CCN(C)CC1,6.7000
