SMILES,pIC50
Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,6.5229
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,6.7696
CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12,5.0315
CC(=C(C#N)C#N)c1ccc(NC(=O)CCC(=O)O)cc1,3.3010
O=C(O)/C=C/c1ccc(O)cc1,2.7614
N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-],4.3188
Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)N(C)c2ncnc(Nc3ccc(F)c(Cl)c3)c21,5.2749
COc1cc(/C=C(\C#N)C(=O)O)cc(OC)c1O,3.3666
N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1,6.9515
N#CC(C#N)=Cc1ccc(O)c(O)c1,4.4559
N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,4.2932
CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,9.3468
N#C/C(=C\c1ccc(O)c(O)c1)C(N)=O,5.0000
N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c([N+](=O)[O-])c1,4.2218
COc1ccc(NN=C(C#N)C#N)cc1,3.2218
COc1cc(C=C(C#N)C#N)cc(OC)c1O,3.2967
Cc1ccc(/C=C(\C#N)C(=O)O)cc1,2.8697
N#CC(C#N)=Cc1cc(O)c(O)c(O)c1,5.7614
C/N=N/Nc1ccc2ncnc(N(C)c3ccccc3)c2c1,5.0969
N#C/C(=C\c1ccc([N+](=O)[O-])cc1)C(=O)O,2.8861
N#C/C(=C/c1ccc[nH]1)C(=O)O,2.8665
N#C/C(=C\c1ccc(O)cc1)C(=O)O,3.6990
N#CC(C#N)=Cc1ccncc1,3.6021
N#CC(C#N)=Cc1ccc(O)c([N+](=O)[O-])c1,4.1064
CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,7.8539
N#CCNC(=O)/C(C#N)=C/c1ccc(O)cc1,3.3239
Cc1cccc(Nc2ncnc3ccc(N)cc23)c1,6.0000
C/N=N/Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,7.0000
CN(C)/N=N/c1ccc2ncnc(N(C)c3ccccc3)c2c1,4.8745
N#CC(C#N)=CNc1ccc(O)cc1,3.4559
O=CN/C=C/c1cc(O)ccc1O,5.5229
Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccn4)cc23)c1,6.6234
Brc1cccc(Nc2ncnc3ccc(N/N=N/CCN4CCOCC4)cc23)c1,7.1938
N#CC(C#N)=C1C(=O)NC(=O)NC1=O,2.8539
N#CC(C#N)=Cc1ccc(C(=O)O)cc1,3.6056
O=C1Nc2ncnc(Nc3ccc(F)c(Cl)c3)c2/C1=C/c1ccc(C(=O)NCCN2CCOCC2)[nH]1,7.6576
N#CC(C#N)=C(O)c1cc(O)c(O)c(O)c1,5.0000
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,7.6734
Nc1ccc2ncnc(NCc3ccccc3)c2c1,6.0740
N#CC(C#N)=Cc1ccc([N+](=O)[O-])c(O)c1,3.5853
CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)c1C,6.6990
Cc1cc(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]c1C(=O)N1CCN(C)CC1,6.6778
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(c3)CCC4)c21,5.3645
N#C/C(=C\c1ccc(F)cc1)C(=O)O,2.8407
N#C/C(=C\c1ccc(C=O)cc1)C(=O)O,4.0909
O=C(O)/C=C/c1ccc(O)c(O)c1,3.0000
Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,7.3979
CN(c1ccccc1)c1ncnc2ccc(N)cc12,5.0757
COc1cc(/C(C)=C(\C#N)C(=O)O)ccc1O,3.2129
N#CC(C#N)=Cc1ccc(O)cc1,3.5238
N#CC(C#N)Cc1ccc(O)cc1,2.1871
CCN1CCN(C(=O)c2cc(C)c(/C=C3\C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c43)[nH]2)CC1,6.6990
N#C/C(=C\c1ccc(O)cc1)C(N)=O,3.0969
N#CC(C#N)=Cc1ccc(C=O)cc1,4.4604
N#CC(C#N)=Cc1cc(O)cc(O)c1,4.7159
COc1ccc(/C=C(\C#N)C(=O)O)cc1,2.8407
Cc1cc(C(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,7.5376
COc1cc(/C=C(\C#N)C(=O)O)ccc1O,3.2925
COc1cc(C=C(C#N)C#N)cc(O)c1O,5.4397
Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,6.6990
Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7.3979
CN(C)c1ccc(/C=C(\C#N)C(=O)O)cc1,2.8539
COc1ccc(C(O)=C(C#N)C#N)cc1,3.3468
N#C/C(=C/c1cc(O)ccc1O)C(=O)O,4.3724
Cc1cc(CCC(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,8.3279
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c21,7.8724
N#CC(C#N)=Cc1ccc(NC(=O)CCC(=O)O)cc1,3.4068
N#CC(C#N)=NNc1ccc(O)cc1,3.6478
N#CC(C#N)=Cc1ccc2c(c1)OCO2,3.6939
CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7.9586
CCCCc1cc(/C=C(\C#N)C(N)=O)cc(CCCC)c1O,4.2596
COc1cc(/C=C(\C#N)C(N)=C(C#N)C#N)cc(O)c1O,5.9604
N#CC(C#N)=Cc1ccc(/C=C/C(=O)O)cc1,3.5853
Cc1cc(C(=O)N2CCN(C)CC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,7.0000
C#Cc1cccc(Nc2ncnc3c2/C(=C/c2[nH]c(C(=O)NCCN4CCOCC4)cc2C)C(=O)N3)c1,7.3979
Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCCC1,6.1234
N#CC(C#N)=Cc1cc[n+]([O-])cc1,2.8861
COc1cc(C=C(C#N)C#N)ccc1O,3.9364
CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,6.6990
C/N=N/Nc1ccc2ncnc(Nc3cccc(C)c3)c2c1,6.6990
C/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7.4089
CN(C)/N=N/c1ccc2ncnc(NCc3ccccc3)c2c1,6.3170
N#CC(C#N)=C(N)/C(C#N)=C/c1cc(O)c(O)c(O)c1,6.0969
N#CC(C#N)=Cc1cc2c(cc1[N+](=O)[O-])OCO2,3.2518
N#C/C(=C\c1ccccc1)C(=O)O,3.0706
N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c(O)c1,5.5625
N#CC(C#N)=Cc1ccc[nH]1,3.5850
Cc1c(C(=O)N2CCN(C)CC2)c[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,6.3872
Cc1cc(C(=O)N2CC(C)NC(C)C2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,6.9088
CN(C)CC/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7.4202
C/N=N/Nc1ccc2ncnc(NCc3ccccc3)c2c1,6.4750
Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccc4)cc23)c1,7.6021
N#C/C(=C\c1ccc(O)c(O)c1)C(N)=S,5.6198
CC(C)(C)c1cc(C=C(C#N)C#N)cc(C(C)(C)C)c1O,3.5735
Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,6.6990
O=C(O)C(=Cc1ccc(O)cc1)C(=O)O,2.8239
COc1cc(C=C(C#N)C#N)cc([N+](=O)[O-])c1O,4.0278
Cc1[nH]c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)c(C)c1CCC(=O)O,6.7447
CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(Cl)cc4F)c32)[nH]1,6.3239
Cc1cccc(Nc2ncnc3ccc(/N=N/N(C)C)cc23)c1,7.6198
N#CC(C#N)=Cc1cccc(O)c1,3.6680
COCC/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7.1487
N#C/C(=C\c1ccc(O)c(O)c1)C(=O)O,4.5229
N#CC(C#N)=C(O)c1ccc(O)cc1,3.4697
N#CC(C#N)=C(N)/C(C#N)=C/c1cc(O)c(O)c(Br)c1,6.3010
N#C/C=C/c1ccc(O)cc1,2.6198
COc1cc(C=C(C#N)C#N)cc(Br)c1O,4.0582
COc1cccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]c3c(c2CCC(=O)O)CCCC3)c1,5.0516
COc1cc(Nc2c(C#N)cnc3cc(-c4ccc(CN5CCOCC5)cc4)ccc23)c(Cl)cc1Cl,5.5229
O=C(O)CCc1c(/C=C2\C(=O)Nc3ccc(C(=O)O)cc32)[nH]c2c1CCCC2,4.2480
NS(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]c3c(c1CCC(=O)O)CCCC3)C(=O)N2,4.5361
C=CC(=O)N(CCN(C)C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,7.0092
Cc1cccc(Nc2ncnc3cnc(N(C)C)nc23)c1,8.3940
Cc1cccc(Nc2ncnc3cnc(Cl)nc23)c1,6.4201
C=CC(=O)N(CCCN1CCOCC1)c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7.5968
CCn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccccc3)nc21,6.6990
Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(Br)c3)nc21,6.1739
COc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1,7.5229
O=C(/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1)NCCCN1CCOCC1,8.0555
COc1ncc2ncnc(Nc3cccc(Br)c3)c2n1,8.4201
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,7.8239
C#Cc1cccc(Nc2c(C#N)cnc3cc(OCCOC)c(OCCOC)cc23)c1,6.0706
Cc1cccc(Nc2ncnc3cnc(N)nc23)c1,7.7648
COc1cccc2c(C(=O)Nc3ccccc3)c(SSc3c(C(=O)Nc4ccccc4)c4cccc(OC)c4n3C)n(C)c12,5.1871
COC(=O)c1cccc(NCc2cc(O)ccc2O)c1,5.0458
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1.Cl.Cl,8.6990
COc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cn1,5.8861
CNc1ncc2ncnc(Nc3cccc(C)c3)c2n1,8.3633
COC(=O)c1cc(NCc2ccccc2O)ccc1O,4.6990
CCOC(=O)/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.0582
COc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1C,6.6021
Brc1cccc(Nc2ncnc3cnc(NCCCN4CCOCC4)nc23)c1,8.5338
Cn1c(SSc2c(C(=O)Nc3ccccc3)c3ccccc3n2C)c(C(=O)Nc2ccccc2)c2ccccc21,4.9813
CN1CCN(CCCCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)CC1,5.3468
Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(CO)c3)nc21,7.0660
Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)nc23)c1,9.0900
O=C(CCc1c(SSc2[nH]c3ccccc3c2CCC(=O)NCc2ccccc2)[nH]c2ccccc12)NCc1ccccc1,6.0706
CNc1ncc2ncnc(Nc3ccccc3)c2n1,7.8831
O=C1NC(=O)c2cc(Nc3ccc(O)cc3)c(Nc3ccc(O)cc3)cc21,5.6021
C=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,8.5686
C/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.7073
Cn1c(SSc2c(C(=O)Nc3ccccc3)c3cc(C#N)ccc3n2C)c(C(=O)Nc2ccccc2)c2cc(C#N)ccc21,4.2668
Cn1c(SSc2c(C(=O)Nc3ccccc3)c3cccc(O)c3n2C)c(C(=O)Nc2ccccc2)c2cccc(O)c21,4.0000
C=CC(=O)N(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.8278
CCN(CC)CCCNC(=O)/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,7.6778
Cn1c(SSc2c(C(=O)Nc3ccccc3)c3cc([N+](=O)[O-])ccc3n2C)c(C(=O)Nc2ccccc2)c2cc([N+](=O)[O-])ccc21,5.3010
C=CC(=O)N(CCCN1CCOCC1)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,7.6878
COc1cc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc(OC)c1,6.4815
Clc1ncc2ncnc(Nc3cccc(Br)c3)c2n1,7.0831
CN1C(=S)C(C(=O)Nc2ccccc2)c2ccccc21,6.0000
COC(=O)c1cc(NCc2cccc(O)c2)ccc1O,4.6778
CNc1ncc2ncnc(Nc3cccc(Br)c3)c2n1,9.1100
C=C(C)C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.0762
C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,8.0605
Nc1ncc2ncnc(Nc3cccc(Br)c3)c2n1,8.8219
Cc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)nc23)c1,8.6342
Clc1ncc2ncnc(Nc3ccccc3)c2n1,5.5935
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,9.5850
CCOC(=O)/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7.8812
O=C(/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1)NCCCN1CCOCC1,8.5343
Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(O)c3)nc21,6.8239
CCOC(=O)CCCc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1,6.1549
Brc1cccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)nc23)c1,9.6000
