SMILES,pIC50
CCCCCCCC/C=C\CCCCOC(=O)CC(=O)CBr,6.4715
CCCCCC[C@H](C)OC(=O)CC(=O)CBr,5.6783
CCCCCCCOC(=O)CC(=O)CBr,5.8239
CCCCCCCC/C=C\CCCCCCCC(=O)CBr,6.0000
CCCCCCCC/C=C\CCCCCCCC(=O)C(F)(F)F,6.6651
CCCCCC[C@@H](C)OC(=O)CC(=O)CBr,5.8410
CCCCCC[C@@H](C)OC(=O)CC(=O)CCl,5.9586
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@@H](O)CO,5.5229
CCCCC[C@H](O)/C=C/C=C\CCCCCCCC(=O)NCCO,6.3665
CCCCC[C@H](O)/C=C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@@H](O)CO,5.2218
CCCCC[C@H](O)/C=C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@H](O)CO,5.3010
CCCCC/C=C\C=C\C(O)C/C=C\C/C=C\CCCC(=O)NCCO,6.1612
CCCCCC(O)/C=C/C=C\C/C=C\C/C=C\CCCC(=O)NCCO,6.2007
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@H](O)CO,5.6021
CCCCC/C=C\C=C\[C@@H](O)C/C=C\C/C=C\CCCC(=O)NCCO,6.2441
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC(CO)CO,5.3010
CCCCC/C=C\C[C@@H](O)/C=C/C=C\C/C=C\CCCC(=O)NCCO,5.5376
CCCCC/C=C\C/C=C\C/C=C\C=C\[C@@H](O)CCCC(=O)NCCO,5.7235
CCCCC/C=C\C/C=C\C/C=C\C=C\[C@H](O)CCCC(=O)NCCO,5.5986
CCCCC[C@H](O)/C=C/C=C\C=C\[C@@H](O)C/C=C\CCCC(=O)NCCO,6.1612
CCCCC[C@@H](O)/C=C/C=C\C/C=C\C/C=C\CCCC(=O)NCCO,6.2007
CCCCC[C@@H](O)/C=C/C=C\C/C=C\C=C\[C@H](O)CCCC(=O)NCCO,5.8996
CCCCCCCC/C=C\CCCCCCCC(=O)c1ncco1,6.3495
CCCCCCCC/C=C\CCCCCCCC(=O)c1ncc(-c2ccccn2)o1,8.0000
CCCCCCCC(=O)C(F)(F)F,5.2218
CCCCCCCCCC(=O)C(F)(F)F,5.0000
CCCCCCCCCCCC(=O)C(F)(F)F,5.9269
CCCCCCCCCCCCCCCCCC(=O)C(F)(F)F,5.1938
O=C(CCCCCc1ccccc1)C(F)(F)F,5.3010
O=C(CCCCCCc1ccccc1)C(F)(F)F,5.3010
O=C(CCCCCCCc1ccccc1)C(F)(F)F,6.6505
CCCCCCCC/C=C\CCCCCCCC(=O)c1nc2ccccc2o1,5.0000
CCCCCCCC/C=C\CCCCCCCC(=O)c1nc2ncccc2o1,7.8861
O=C(CCCCCc1ccccc1)c1nc2ccccc2o1,5.0000
O=C(CCCCCc1ccccc1)c1nc2ncccc2o1,9.6990
O=C(CCCCCCc1ccccc1)c1nc2ncccc2o1,8.6778
CCCCCCCCC#CCCCCCCCC(=O)c1nc2ncccc2o1,8.6990
O=C(CCCCCCc1ccccc1)c1ncc(-c2ccccn2)o1,8.0458
CCCCCCCCC#CCCCCCCCC(=O)c1ncc(-c2ccccn2)o1,7.6990
CCCCCCCC/C=C/CCCCCCCC(=O)C(F)(F)F,5.3010
CCCCCCCC/C=C\CCCCCCCC(=O)c1ncc(-c2ccccc2)o1,5.3010
O=C(CCCCCc1ccccc1)c1ncc(-c2ccccn2)o1,7.3979
O=C(CCCCCCCc1ccccc1)c1nc2ncccc2o1,9.4089
O=C(CCCCCCCc1ccccc1)c1ncc(-c2ccccn2)o1,8.0969
O=C(CCCCCCCCc1ccccc1)c1nc2ncccc2o1,9.2840
O=C(CCCCCCCCc1ccccc1)c1ncc(-c2ccccn2)o1,7.5229
CCCCCCCC/C=C\CCCCCCCC(=O)c1nnc(-c2ccccc2)o1,6.6990
CCCCCCCC/C=C\CCCCCCCC(=O)c1nnc(-c2ccccn2)o1,8.3979
O=C(CCCCCCc1ccccc1)c1nnc(-c2ccccn2)o1,9.0000
O=C(CCCCCCc1ccccc1)c1nnc(-c2cccnc2)o1,7.6990
O=C(CCCCCCc1ccccc1)c1nnc(-c2ccncc2)o1,7.6990
O=C(CCCCCc1ccccc1)c1nnc(-c2ccccn2)o1,8.3979
O=C(CCCCCCCc1ccccc1)c1nnc(-c2ccccn2)o1,9.2218
O=C(CCCCCCCCc1ccccc1)c1nnc(-c2ccccn2)o1,9.0969
CCCCCCCC/C=C\CCCCCCCC(N)=O,4.1675
O=S(=O)(F)Cc1ccccc1,4.8861
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCP(=O)(F)OC,9.2400
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)C=[N+]=[N-],8.2218
CCCCCCCCCCCCS(=O)(=O)F,8.5229
CCCCCCCCCCCCCCCCCCS(=O)(=O)F,8.3979
CCCCCCCCCCCCP(=O)(F)OC,8.5229
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCS(=O)(=O)F,10.0000
O=C1O/C(=C/Br)CCC1c1cccc2ccccc12,6.0969
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)C(F)(F)F,7.9101
CCCCCCCc1ccc(CCCCCCC(=O)C(F)(F)F)cc1,7.0177
CCCCCCCCCCCCCCCC(=O)NC(C)C,7.8861
CCCCCCCCCCCCCCCC(=O)NCC(=O)OC,5.0000
CCCCCCCCCCCCCCCNC(=O)COC(C)=O,5.0969
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCCc1c[nH]c2ccc(O)cc12,4.9727
CCCCC/C=C\C/C=C\CC/C=C\CCCC(=O)NCCc1ccc(O)c(O)c1,4.7212
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCC(=O)O,5.1549
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)c1nc2ncccc2o1,9.0000
CCCCCCCC/C=C\CCCCCCC(C)C(=O)c1nc2ncccc2o1,8.0410
CC(C)c1cccc(C(C)C)c1O,4.2840
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCC(C)C(=O)OCC(O)CO,4.9586
CC(C)(/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OCC(O)CO)CCCCC#N,4.9586
CC(C)(/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OCC(O)CO)CCCCO,4.9586
O=C(CCCCCCc1ccccc1)c1ncc(-c2cccc(F)c2)o1,7.3010
O=C(O)c1cccc(-c2cnc(C(=O)CCCCCCc3ccccc3)o2)c1,8.3010
COC(=O)c1cccc(-c2cnc(C(=O)CCCCCCc3ccccc3)o2)c1,7.9208
Nc1cccc(-c2cnc(C(=O)CCCCCCc3ccccc3)o2)c1,7.7212
O=C(CCCCCCc1ccccc1)c1ncc(-c2cccc([N+](=O)[O-])c2)o1,7.5528
N#Cc1ccccc1-c1cnc(C(=O)CCCCCCc2ccccc2)o1,6.8861
O=C(CCCCCCc1ccccc1)c1ncc(-c2ccccc2C(=O)C(F)(F)F)o1,5.3010
NC(=O)c1ccccc1-c1cnc(C(=O)CCCCCCc2ccccc2)o1,6.5229
NS(=O)(=O)c1ccccc1-c1cnc(C(=O)CCCCCCc2ccccc2)o1,5.8239
O=C(CCCCCCc1ccccc1)c1ncc(-c2ccccc2O)o1,6.7696
COc1ccccc1-c1cnc(C(=O)CCCCCCc2ccccc2)o1,6.3979
O=C(CCCCCCc1ccccc1)c1ncc(-c2ccccc2F)o1,6.9586
O=C(CCCCCCc1ccccc1)c1ncc(-c2ccccc2C(=O)O)o1,5.2218
COC(=O)c1ccccc1-c1cnc(C(=O)CCCCCCc2ccccc2)o1,7.2218
Nc1ccccc1-c1cnc(C(=O)CCCCCCc2ccccc2)o1,6.1249
O=C(CCCCCCc1ccccc1)c1ncc(-c2ccccc2[N+](=O)[O-])o1,6.8861
O=C(CCCCCCc1ccccc1)c1ncc(-c2ccccc2)o1,7.0969
O=C(CCCCCCc1ccccc1)c1ncc(-c2cccs2)o1,7.2596
O=C(CCCCCCc1ccccc1)c1ncc(-c2ccco2)o1,7.9208
COc1cccc(-c2cnc(C(=O)CCCCCCc3ccccc3)o2)c1,7.3979
NC(=O)c1ccc(-c2cnc(C(O)CCCCCCc3ccccc3)o2)nc1,5.5229
NC(=O)c1cccc(-c2cnc(C(O)CCCCCCc3ccccc3)o2)n1,5.6778
O=C(O)c1ccc(-c2cnc(C(O)CCCCCCc3ccccc3)o2)nc1,4.3468
COC(=O)c1cccc(-c2cnc(C(O)CCCCCCc3ccccc3)o2)n1,5.6383
O=c1cc(-c2cnc(C(O)CCCCCCc3ccccc3)o2)[nH]c(=O)[nH]1,5.6021
CN(C)C(=O)c1cnc(C(O)CCCCCCc2ccccc2)o1,4.7959
NC(=O)c1cnc(C(O)CCCCCCc2ccccc2)o1,4.6021
COC(=O)c1cnc(C(O)CCCCCCc2ccccc2)o1,5.6990
OC(CCCCCCc1ccccc1)c1ncc(C(F)(F)F)o1,5.6383
N#Cc1cnc(C(O)CCCCCCc2ccccc2)o1,5.3768
O=C(CCCCCCc1ccccc1)c1ncc(-c2c[nH]c(=O)[nH]c2=O)o1,6.3117
O=C(CCCCCCc1ccccc1)c1ncc(-c2cc(=O)[nH]c(=O)[nH]2)o1,8.1109
CSc1cnc(C(=O)CCCCCCc2ccccc2)o1,7.6021
O=C(CCCCCCc1ccccc1)c1ncc(F)o1,7.5229
O=C(CCCCCCc1ccccc1)c1ncc(Cl)o1,8.3010
O=C(CCCCCCc1ccccc1)c1ncc(Br)o1,8.5229
O=C(CCCCCCc1ccccc1)c1ncc(I)o1,8.5229
O=C(CCCCCCc1ccccc1)c1ncc(C(F)(F)F)o1,9.0969
Cc1cnc(C(=O)CCCCCCc2ccccc2)o1,7.0969
N#Cc1cnc(C(=O)CCCCCCc2ccccc2)o1,9.1990
O=C(CCCCCCc1ccccc1)c1ncc(C(=O)N2CCCCC2)o1,7.2218
O=C(CCCCCCc1ccccc1)c1ncc(C(=O)N2CCSCC2)o1,8.0000
O=C(CCCCCCc1ccccc1)c1ncc(C(=O)N2CCOCC2)o1,7.6198
CN1CCN(C(=O)c2cnc(C(=O)CCCCCCc3ccccc3)o2)CC1,7.0969
O=Cc1cnc(C(=O)CCCCCCc2ccccc2)o1,8.2218
O=C(CCCCCCc1ccccc1)c1ncc(C(=O)C(F)(F)F)o1,8.4269
CC(=O)c1cnc(C(=O)CCCCCCc2ccccc2)o1,8.6990
CN(C)C(=O)c1cnc(C(=O)CCCCCCc2ccccc2)o1,8.6990
CNC(=O)c1cnc(C(=O)CCCCCCc2ccccc2)o1,8.1549
NC(=O)c1cnc(C(=O)CCCCCCc2ccccc2)o1,8.3010
COC(=O)c1cnc(C(=O)CCCCCCc2ccccc2)o1,9.0458
O=C(O)c1cnc(C(=O)CCCCCCc2ccccc2)o1,7.5089
O=C(CCCCCCc1ccccc1)c1ncco1,7.3188
O=C(CCCCCCc1ccccc1)c1ncc(-c2cnc(C(=O)CCCCCCc3ccccc3)o2)o1,5.4559
O=C(CCCCCCc1ccccc1)c1ncc(-c2nnn[nH]2)o1,7.2007
COc1ncc(-c2cnc(C(=O)CCCCCCc3ccccc3)o2)c(OC)n1,6.3154
COc1cc(-c2cnc(C(=O)CCCCCCc3ccccc3)o2)nc(OC)n1,7.3495
O=C(CCCCCCc1ccccc1)c1ncc(-c2cncnc2)o1,7.6576
O=C(CCCCCCc1ccccc1)c1ncc(-c2ncccn2)o1,8.3065
O=C(CCCCCCc1ccccc1)c1ncc(-c2ccncn2)o1,8.6383
NS(=O)(=O)c1ccc(-c2cnc(C(=O)CCCCCCc3ccccc3)o2)s1,8.5229
O=C(CCCCCCc1ccccc1)c1ncc(-c2ccc(C(=O)O)s2)o1,7.9586
COC(=O)c1ccc(-c2cnc(C(=O)CCCCCCc3ccccc3)o2)s1,8.1549
O=C(O)c1ccc(-c2cnc(C(=O)CCCCCCc3ccccc3)o2)o1,6.9472
COC(=O)c1ccc(-c2cnc(C(=O)CCCCCCc3ccccc3)o2)o1,8.2596
NC(=O)c1cccc(-c2cnc(C(=O)CCCCCCc3ccccc3)o2)n1,9.0000
NC(=O)c1ccc(-c2cnc(C(=O)CCCCCCc3ccccc3)o2)nc1,8.9208
O=C(O)c1cccc(-c2cnc(C(=O)CCCCCCc3ccccc3)o2)n1,7.6420
O=C(O)c1ccc(-c2cnc(C(=O)CCCCCCc3ccccc3)o2)nc1,8.0969
O=C(O)c1ccnc(-c2cnc(C(=O)CCCCCCc3ccccc3)o2)c1,7.3010
COC(=O)c1cccc(-c2cnc(C(=O)CCCCCCc3ccccc3)o2)n1,8.0969
COC(=O)c1ccc(-c2cnc(C(=O)CCCCCCc3ccccc3)o2)nc1,8.4559
COC(=O)c1ccnc(-c2cnc(C(=O)CCCCCCc3ccccc3)o2)c1,9.0540
COC(=O)c1cccnc1-c1cnc(C(=O)CCCCCCc2ccccc2)o1,6.8861
O=C(CCCCCCc1ccccc1)c1ncc(-c2cc(F)ccn2)o1,8.6505
Nc1ccnc(-c2cnc(C(=O)CCCCCCc3ccccc3)o2)c1,7.0353
O=C(CCCCCCc1ccccc1)c1ncc(-c2cc([N+](=O)[O-])ccn2)o1,8.6454
O=C(CCCCCCc1ccccc1)c1ncc(-c2cc(C(F)(F)F)ccn2)o1,8.6399
N#Cc1ccnc(-c2cnc(C(=O)CCCCCCc3ccccc3)o2)c1,9.0278
COc1ccnc(-c2cnc(C(=O)CCCCCCc3ccccc3)o2)c1,8.9332
Cc1cccc(-c2cnc(C(=O)CCCCCCc3ccccc3)o2)n1,8.4815
Cc1ccc(-c2cnc(C(=O)CCCCCCc3ccccc3)o2)nc1,8.5528
Cc1ccnc(-c2cnc(C(=O)CCCCCCc3ccccc3)o2)c1,9.1109
Cc1cccnc1-c1cnc(C(=O)CCCCCCc2ccccc2)o1,7.8239
N#Cc1ccc(-c2cnc(C(=O)CCCCCCc3ccccc3)o2)cc1,7.3979
O=C(CCCCCCc1ccccc1)c1ncc(-c2ccc(C(=O)C(F)(F)F)cc2)o1,7.1871
NC(=O)c1ccc(-c2cnc(C(=O)CCCCCCc3ccccc3)o2)cc1,8.0000
NS(=O)(=O)c1ccc(-c2cnc(C(=O)CCCCCCc3ccccc3)o2)cc1,8.0000
O=C(CCCCCCc1ccccc1)c1ncc(-c2ccc(O)cc2)o1,6.8539
COc1ccc(-c2cnc(C(=O)CCCCCCc3ccccc3)o2)cc1,7.0000
O=C(CCCCCCc1ccccc1)c1ncc(-c2ccc(F)cc2)o1,7.2076
O=C(O)c1ccc(-c2cnc(C(=O)CCCCCCc3ccccc3)o2)cc1,7.2218
COC(=O)c1ccc(-c2cnc(C(=O)CCCCCCc3ccccc3)o2)cc1,7.3979
Nc1ccc(-c2cnc(C(=O)CCCCCCc3ccccc3)o2)cc1,7.0458
O=C(CCCCCCc1ccccc1)c1ncc(-c2ccc([N+](=O)[O-])cc2)o1,7.3010
N#Cc1cccc(-c2cnc(C(=O)CCCCCCc3ccccc3)o2)c1,7.8239
O=C(CCCCCCc1ccccc1)c1ncc(-c2cccc(C(=O)C(F)(F)F)c2)o1,7.7959
NC(=O)c1cccc(-c2cnc(C(=O)CCCCCCc3ccccc3)o2)c1,8.2218
NS(=O)(=O)c1cccc(-c2cnc(C(=O)CCCCCCc3ccccc3)o2)c1,8.6990
