SMILES,pIC50
Cc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1ccc(OCc3cncn3C)nc1)CC2,7.0000
Cc1cccc(COc2ccc(NC(=O)N3CCc4cc(C)c(C(F)(F)F)cc43)cn2)n1,6.0000
Nc1cccc(-c2ccc(CCN3CCN(c4cccc5cccnc45)CC3)cc2)n1,7.8539
Cc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1ccc(OCc3ccccn3)nc1)CC2,6.2000
Cc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cnc(OCc3ccccn3)c(C)c1)CC2,7.4000
COc1ccc(NS(=O)(=O)c2ccc(Br)cc2)cc1N1CCN(C)CC1,5.9000
Cc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1ccc(COc3ccccn3)nc1)CC2,7.0000
Cc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1ccc(CCc3ccccn3)nc1)CC2,6.8000
COc1ccc(NS(=O)(=O)c2sc3ccc(Cl)cc3c2C)cc1N1CCN(C)CC1,6.0000
Cc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1ccc(OCCc3ccccn3)nc1)CC2,5.7000
Cc1cc2c(cc1Cl)N(C(=O)Nc1ccc(OCc3ccncc3)nc1)CC2,7.1000
O=C(Nc1ccc(OCc2ccccn2)nc1)N1CCc2cc(C(F)(F)F)ccc21,5.3000
O=C(Nc1ccc(OCc2ccccn2)nc1)N1CCc2c(Cl)cccc21,5.3000
Cc1cc2c(cc1Cl)N(C(=O)Nc1ccc(OCc3nccn3C)nc1)CC2,6.6000
Cc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1ccc(OCc3cnccn3)nc1)CC2,6.5000
Cc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1ccc(OCc3ccccn3)cc1)CC2,6.4000
O=C(Nc1ccc(OCc2ccccn2)nc1)N1CCc2cc(Br)ccc21,5.6000
O=C(Nc1ccc(OCc2ccccn2)nc1)N1CCc2ccc(C(F)(F)F)cc21,6.6000
Cc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1ccc(OCc3ncccc3C)nc1)CC2,6.8000
Cc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1ccc(OCc3ccccn3)nn1)CC2,6.6000
NCCc1cn2c3c(cccc13)CCC2,6.4694
CN1CCc2ccc3c4c2[C@H]1Cc1cccc(c1-4)[C@@H]3N,6.3288
CC1CCc2cc(F)cc3c(CCN)cn1c23,6.1005
CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,5.7624
Cc1cccc(C(=O)NCN2CCN(c3ccccc3C#N)CC2)c1,5.3969
CNCCc1cn2c3c(cc(F)cc13)CCC2C,5.8974
NCCc1cn2c3c(cc(Cl)cc13)SCC2,6.3292
Cc1c(CCN)c2cc(F)cc3c2n1C(C)CC3,6.0205
CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12,5.1000
Cc1c(CCN)c2cccc3c2n1CCC3,6.1701
NCCc1ccccc1,4.7747
COc1ccc(NC(=O)c2ccc(-c3ccc(-c4noc(C)n4)cc3C)cc2)cc1NCCN(C)C,8.3000
NCc1c2ccccc2cc2ccccc12,5.6383
Cc1nc(-c2ccc(-c3ccc(C(=O)Nc4ccc5c(c4)C4(CCN(C)CC4)CO5)cc3)c(C)c2)no1,6.0000
NCC(c1ccccc1)c1ccccc1,5.3363
CC1(CN)c2ccccc2Cc2ccccc21,7.1871
NCC1Cc2ccccc2-c2ccccc21,6.1481
Cc1cc(C(=O)Nc2cccc(N3CCN(C)CC3)c2)ccc1Br,6.5000
NCC12CC(c3ccccc31)c1ccccc12,5.1688
Cc1nc(-c2ccc(-c3ccc(C(=O)Nc4ccc5c(c4)N(CCN(C)C)CCO5)cc3)c(C)c2)no1,8.4000
COc1cc2c(cc1OCCN(C)C)N(C(=O)c1ccc(-c3ccc(-c4noc(C)n4)cc3C)cc1)CC2,6.5000
c1ccc2c(c1)Cc1cccc3c1C2CNC3,6.5287
Cc1nc(-c2ccc(-c3ccc(C(=O)N4CCc5cc6c(cc54)C4(CCN(C)CC4)CO6)cc3)c(C)c2)no1,5.7743
Cc1nc(-c2ccc(-c3ccc(C(=O)Nc4cc5c(c(OCCN(C)C)c4)OCC5)cc3)c(C)c2)no1,7.3000
Cc1cc(C(=O)Nc2ccc(C)c(N3CCN(C)CC3)c2)ccc1Br,6.9000
NCC12CCC(c3ccccc31)c1ccccc12,6.1135
CC1(C)c2ccccc2C(CN)c2ccccc21,6.4815
NCC1c2ccccc2-c2ccccc21,5.3478
COc1ccc(NC(=O)c2ccc(-c3ccc(-c4noc(C)n4)cc3C)cc2)cc1OCCN(C)C,7.3000
COc1ccc(NC(=O)c2ccc(-c3ccc(-c4noc(C)n4)cc3C)cc2)cc1N1CCN(C)CC1,7.5848
COc1ccc(NC(=O)c2ccc(-c3ccc(-c4noc(C)n4)cc3C)cc2)cc1CCCN(C)C,8.2000
CC(N)C1c2ccccc2Cc2ccccc21,6.7144
NCC1c2ccccc2Cc2ccccc21,7.6990
NCC1c2ccccc2CCc2ccccc21,6.9508
NCC1CC2c3ccccc3C1c1ccccc12,5.0209
NCCc1ccccc1Cc1ccccc1,5.7423
NCC1c2ccccc2C=Cc2ccccc21,5.3840
COc1ccc(NC(=O)c2ccc(Br)c(C)c2)cc1N1CCN(C)CC1,6.7000
C[C@H](N)CN1CCc2ccc(Cl)cc21,6.3297
CSc1ccc2c(c1)N(C[C@H](C)N)CC2,6.7761
CCSc1ccc2c(c1)N(C[C@H](C)N)CC2,6.5788
C[C@H](N)CN1CCc2cc(F)c(C(F)(F)F)cc21,6.1690
CCSc1cc2c(cc1F)CCN2C[C@H](C)N,6.9894
NCCCN1c2ccccc2CCc2ccccc21,6.4012
COc1ccc(NS(=O)(=O)c2sc3ccc(Cl)cc3c2C)cc1N1CCN2CCC[C@H]2C1,6.6000
COc1ccc(NS(=O)(=O)c2sc3ccc(Cl)cc3c2C)cc1N1CCN2CCC[C@@H]2C1,5.9000
C[C@H](N)CN1CCc2ccc(Br)cc21,6.2990
NCCC1c2ccccc2Cc2ccccc21,6.3188
C[C@H](N)CN1CCc2cc(F)c(I)cc21,6.6108
Cc1cc2c(cc1Cl)N(C(=O)Nc1cccnc1)CC2,6.8000
C[C@H](N)Cn1ccc2cc(F)c(Cl)cc21,7.3545
COc1ccc(NS(=O)(=O)c2sc3ccc(Cl)cc3c2C)cc1N1CCN2CCCCC2C1,6.2000
CN(C)CCCN1c2ccccc2CCc2ccccc21,6.7959
NCCc1c[nH]c2ccc(O)cc12,7.9172
CNCCCN1c2ccccc2CCc2ccccc21,6.7959
O=C1c2ccoc2CCC1CCN1CCC(c2noc3cc(F)ccc23)CC1,9.1400
CN(C)CC1c2ccccc2Cc2ccccc21,6.2676
CN(C)CCCC1c2ccccc2Cc2ccccc21,7.6576
c1ccc(CNCC2c3ccccc3Cc3ccccc32)cc1,6.1421
CSc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cccnc1)CC2,6.4000
C[C@H](N)CN1CCc2cc(F)c(Cl)cc21,6.6063
O=C(CCCN1CCN(CC2CC(=O)c3ccccc3C2)CC1)c1ccc(F)cc1,6.9400
CSc1cc2c(cc1F)CCN2C[C@H](C)N,7.1975
C[C@H](N)CN1CCc2ccc3c(c21)CCO3,7.0792
NCCCC1c2ccccc2Cc2ccccc21,7.4949
O=C1CC(CN2CCC(c3noc4cc(F)ccc34)CC2)Cc2[nH]c3ccccc3c21,8.9300
C[C@H](N)CN1CCc2ccc3c(c21)CCCO3,6.6532
C[N+](C)(C)CC1c2ccccc2Cc2ccccc21,5.3979
Clc1cccc(N2CCNCC2)c1,7.1625
NC1c2ccccc2Cc2ccccc21,4.9208
CNCC1c2ccccc2Cc2ccccc21,7.2840
O=C(CCCN1CCN(CCC2Cc3ccccc3C2=O)CC1)c1ccc(F)cc1,7.1700
Cn1ccc2cc3c(cc21)CCN3C(=O)Nc1cccnc1,5.7450
Cc1cc2c(cc1Cl)N(C(=O)Nc1ccc(Oc3cccnc3C)nc1)CC2,6.8000
CSc1cc2c(cc1Cl)N(C(=O)Nc1cccnc1)CC2,5.6000
CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1,9.0119
