SMILES,pIC50
Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,4.7825
Nc1ncnc2c1c(-c1cccc(Oc3ccccc3)c1)cn2C1CCCC1,5.1487
c1ccc(-c2cnc(Nc3ccccn3)o2)cc1,5.7258
Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)N(C)c2ncnc(Nc3ccc(F)c(Cl)c3)c21,4.9957
Cc1ccc(Nc2ncc(-c3ccccc3)s2)nc1,7.7212
CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,6.4437
c1ccc(-c2cnc(Nc3cnccn3)s2)cc1,7.6383
c1ccc(-c2cnc(Nc3cccnc3)s2)cc1,6.6198
Cc1ccnc(Nc2ncc(-c3ccccc3)s2)c1,8.2218
c1ccc(Nc2ncc(-c3ccccc3)s2)cc1,6.9066
Cc1cccc(Nc2ncc(-c3ccccc3)s2)n1,8.0000
Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCCC1O,6.0000
c1ccc(Nc2ncc(-c3ccccc3)o2)cc1,6.3969
c1ccc(Oc2ccc(Nc3ncnc4ccccc34)cc2)cc1,5.5654
CC(C)n1cc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc21,6.3665
O=C(Nc1ncc(-c2ccccc2)s1)c1ccccc1,7.0915
c1ccc(-c2cnc(Nc3ccncn3)s2)cc1,7.4437
COc1cccnc1Nc1ncc(-c2ccccc2)s1,7.3372
COc1ccnc(Nc2ncc(-c3ccccc3)s2)c1,7.9586
Cc1cccnc1Nc1ncc(-c2ccccc2)s1,7.8861
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,5.6882
CCCCN(C)c1ccc(/N=N/c2ncc([N+](=O)[O-])s2)c(C)c1,6.8210
CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)c1C,5.4597
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(c3)CCC4)c21,5.4609
Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCC(O)C1,7.0706
c1ccc(-c2cnc(Nc3ccccn3)s2)cc1,8.1549
c1ccc(-c2cnc(Nc3ccncc3)s2)cc1,6.5867
COc1cccc(Nc2ncc(-c3ccccc3)s2)n1,8.5229
Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CC(O)C(O)C1,6.5686
Cc1ccc(-c2nn(C(C)(C)C)c3ncnc(N)c23)cc1,6.2479
Brc1cccc(Nc2ncc(-c3ccccc3)s2)n1,7.8539
Cc1cnc(Nc2ccccn2)s1,5.8948
Cc1cc(C(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,5.0496
Clc1ccc(Nc2ncc(-c3ccccc3)s2)nc1,7.4559
Brc1cnc(Nc2ccccn2)s1,7.1487
c1ccc(-c2cnc(Nc3ccc(CN4CCCC4)cn3)s2)cc1,7.9208
Clc1cnc(Nc2ccccn2)s1,6.7122
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c21,5.6778
CC(C)(C)n1cc(-c2ccc(Cl)cc2)c2c(N)ncnc21,5.5719
Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCCC1,5.8041
CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,6.5229
Cc1cc(C(=O)N2CC(C)NC(C)C2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,5.7878
CC(C)(C)n1cc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc21,5.6402
N#Cc1cnc(Nc2ccccn2)s1,7.4437
Cc1cc(C)c(/C=C2\C(=O)N(C)c3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,5.2351
Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,5.4597
CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(Cl)cc4F)c32)[nH]1,7.3979
c1ccc(-c2cnc(Nc3ncccn3)s2)cc1,6.8633
COc1cccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]c3c(c2CCC(=O)O)CCCC3)c1,7.1549
COc1ccc2c(c1)NC(=O)/C2=C\c1[nH]c2c(c1CCC(=O)O)CCCC2,6.4202
COc1ccccc1-c1ccc2c(c1)NC(=O)/C2=C\c1cc2c([nH]1)CCCC2,4.6990
O=C(O)CCc1c(/C=C2\C(=O)Nc3ccc(C(=O)O)cc32)[nH]c2c1CCCC2,8.3979
COc1ccc2c(c1)NC(=O)/C2=C\c1cc2c([nH]1)CCCC2,4.9172
O=C(O)CCc1c(/C=C2\C(=O)Nc3cc(-c4ccccc4)ccc32)[nH]c2c1CCCC2,7.3010
COc1ccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]c3c(c2CCC(=O)O)CCCC3)cc1,7.5229
O=C1Nc2ccccc2/C1=C/c1cc2c([nH]1)CCCC2,6.3188
O=C(O)CCc1c(/C=C2\C(=O)Nc3ccc(Br)cc32)[nH]c2c1CCCC2,7.5229
NS(=O)(=O)c1ccc2c(c1)/C(=C/c1cc3c([nH]1)CCCC3)C(=O)N2,7.5229
Cc1c[nH]c(/C=C2\C(=O)Nc3ccccc32)c1CCC(=O)O,7.6990
Cc1cc(C)c(/C=C2\C(=O)Nc3ccccc32)[nH]1,5.9101
O=C1Nc2ccc(C(=O)O)cc2/C1=C/c1cc2c([nH]1)CCCC2,7.6990
NS(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]c3c(c1CCC(=O)O)CCCC3)C(=O)N2,6.2218
O=C(O)CCc1c(/C=C2\C(=O)Nc3ccccc32)[nH]c2c1CCCC2,7.0458
O=C1Nc2ccc(Br)cc2/C1=C/c1cc2c([nH]1)CCCC2,7.1549
COc1ccccc1-c1ccc2c(c1)NC(=O)/C2=C\c1[nH]c2c(c1CCC(=O)O)CCCC2,7.2218
Fc1ccc(-c2cnn3cc(-c4ccncc4)cnc23)cc1,7.2007
O=c1[nH]c2ccccc2cc1-c1cc2ccccc2[nH]1,8.0969
Cc1ccc(-c2cnc3c(-c4ccncc4)cnn3c2)cc1,7.2076
c1cc(-c2cnc3c(-c4ccsc4)cnn3c2)ccn1,7.6198
CN1CCN(C(=O)c2ccc3[nH]c(-c4cc5ccccc5nc4O)cc3c2)CC1,8.3010
Fc1ccc(-c2cnn3cc(-c4ccncc4)cnc23)cc1Cl,6.5768
c1ccc(-c2cnn3cc(-c4ccncc4)cnc23)cc1,7.1487
COc1ccc(-c2cnc3c(-c4ccncc4)cnn3c2)cc1,7.4318
