SMILES,pIC50
CC(c1ccccc1)N1CC[C@H]1[C@@H](N)c1cccc(Cl)c1,5.3873
CCCCCCC(c1ccccc1)N1CC[C@H]1[C@@H](N)c1cccc(Cl)c1,5.7111
NC(=O)[C@@H]1CCN(C(=O)Cc2ccc(Cl)c(Cl)c2)[C@H](CN2CCCC2)C1,5.9208
COC(=O)/C=C1\CCN(CC2CCCCN2C(=O)Cc2ccc(Cl)c(Cl)c2)C1,5.9914
Cc1ccc(C(c2ccc(C)cc2)N2CC[C@H]2[C@H](N)c2cccc(Cl)c2)cc1,5.7349
CCCCC(c1cccc(F)c1)N1CC[C@H]1[C@H](N)c1cccc(Cl)c1,5.6708
O=C(Cc1ccc(Cl)c(Cl)c1)N1CCCCC1CN1CC=CC1,8.4559
O=C1CCN(C(=O)Cc2ccc(Cl)c(Cl)c2)C(CN2CCCC2)C1,7.3372
O=C(Cc1ccc(Cl)c(Cl)c1)N1CCC2(CC1CN1CCCC1)SCCS2,8.3010
COc1ccc([C@H](N)[C@@H]2CCN2C(c2ccccc2)c2ccccc2)cc1,5.8726
N[C@H](c1cccc(Cl)c1)[C@@H]1CCN1C(c1ccc(F)cc1)c1ccc(F)cc1,5.6498
CCCCC(c1ccccc1)N1CC[C@H]1[C@@H](N)c1cccc(Cl)c1,5.4337
CCCCC(c1ccccc1)N1CC[C@H]1[C@H](N)c1cccc(Cl)c1,5.4645
O=C1CC[C@@H](CN2CCCC2)N(C(=O)Cc2ccc(Cl)c(Cl)c2)C1,6.4089
O=C(Cc1ccc(Cl)c(Cl)c1)N1CCCCC1CN1CCC(O)C1,9.0555
O=C(Cc1ccc(Cl)c(Cl)c1)N1CCC[C@H](O)[C@H]1CN1CCCC1,6.0132
N[C@H](c1cccc(Cl)c1)[C@@H]1CCN1C(c1cccc(Cl)c1)c1cccc(Cl)c1,5.2192
COCCC1CC2CN3CCc4c([nH]c5ccccc45)C(C(=O)OC)(C2)C13.Cl,5.2924
C=CCN1C[C@H](C)N([C@H](c2ccc(C(=O)N(CC)CC)cc2)c2cccc(OC)c2)C[C@H]1C,5.4516
CCCCN1CCC(=C(c2ccccc2)c2ccc(C(=O)N(CC)CC)cc2)CC1,5.3696
O=C(Cc1ccc(Cl)c(Cl)c1)N1CC[C@H](O)C[C@H]1CN1CCCC1,5.8539
C[C@H]1CCC[C@@H](CN2CCCC2)N1C(=O)Cc1ccc(Cl)c(Cl)c1,8.7696
COC(=O)C1=CCCN(CC2CCCCN2C(=O)Cc2ccc(Cl)c(Cl)c2)C1,7.8239
O=C(Cc1ccc(Cl)c(Cl)c1)N1CCC2(CC1CN1CCCC1)OCCO2,10.0000
C[C@@H]1CCC[C@@H](CN2CCCC2)N1C(=O)Cc1ccc(Cl)c(Cl)c1,7.2441
N[C@@H](c1ccc(Cl)cc1)[C@@H]1CCN1C(c1ccccc1)c1ccccc1,6.2168
CCCCC(c1cc(F)cc(F)c1)N1CC[C@H]1[C@@H](N)c1cccc(Cl)c1,5.1879
CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2ccccc2)cc1,5.1267
CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2c(C)cccc2C)cc1,5.5834
CCN(CC)C(=O)c1ccc(C(=C2CCN(c3ccccc3)CC2)c2ccccc2)cc1,5.5003
C=C1CCN(CC2CCCCN2C(=O)Cc2ccc(Cl)c(Cl)c2)CC1,6.2596
O=C(Cc1ccc(Cl)c(Cl)c1)N1CC[C@@H](O)C[C@H]1CN1CCCC1,6.9208
CN(C(=O)Cc1ccc(Cl)c(Cl)c1)C1CCCCC1N1CCCC1,8.5376
N[C@H](c1cccc(C(F)(F)F)c1)[C@H]1CCN1C(c1ccccc1)c1ccccc1,6.1931
CCC(c1ccccc1)N1CC[C@H]1[C@H](N)c1cccc(Cl)c1,5.1125
CCCC(c1ccccc1)N1CC[C@H]1[C@@H](N)c1cccc(Cl)c1,5.5319
O=C(Cc1ccc(Cl)c(Cl)c1)N1CC2(CC[C@H]1CN1CCCC1)OCCO2,6.7959
C=CCN1CCC(=C(c2ccccc2)c2ccc(C(=O)N(CC)CC)cc2)CC1,5.6402
CCCCCC(c1ccccc1)N1CC[C@H]1[C@@H](N)c1cccc(Cl)c1,5.4077
CCCCC(c1cccc(F)c1)N1CC[C@H]1[C@@H](N)c1cccc(Cl)c1,5.3846
COC(=O)[C@@H]1CCN(C(=O)Cc2ccc(Cl)c(Cl)c2)[C@H](CN2CCCC2)C1,6.6021
N[C@@H](c1cccc(C(F)(F)F)c1)[C@@H]1CCN1C(c1ccccc1)c1ccccc1,5.6173
Cc1ccc([C@H](N)[C@@H]2CCN2C(c2ccccc2)c2ccccc2)cc1,6.1805
CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2ccc(Cl)c(Cl)c2)cc1,5.4123
O=C(Cc1ccc(Cl)c(Cl)c1)N1[C@@H](CO)CCC[C@H]1CN1CCCC1,5.6576
CCCCC(CCCC)N1CC[C@H]1[C@@H](N)c1cccc(Cl)c1,5.3704
N[C@H](c1cccc(Cl)c1)[C@@H]1CCN1C(c1cccc(F)c1)c1cccc(F)c1,5.4519
CCCCCC(c1ccccc1)N1CC[C@H]1[C@H](N)c1cccc(Cl)c1,5.5239
CCCCC(c1cc(F)cc(F)c1)N1CC[C@H]1[C@H](N)c1cccc(Cl)c1,5.3748
CCC(c1ccccc1)N1CC[C@H]1[C@@H](N)c1cccc(Cl)c1,4.8817
CCN(CC)C(=O)c1ccc(C(=C2CCN(CC3CC3)CC2)c2ccccc2)cc1,5.2118
N#C/C=C1\CCN(CC2CCCCN2C(=O)Cc2ccc(Cl)c(Cl)c2)C1,6.1612
COC(=O)[C@@H]1CCC[C@@H](CN2CCCC2)N1C(=O)Cc1ccc(Cl)c(Cl)c1,6.9586
CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2cccc3ccccc23)cc1,5.7799
CCN(CC)C(=O)c1ccc(C(=C2CCN(C3CCCCC3)CC2)c2ccccc2)cc1,5.8761
CCN(CC)C(=O)c1ccc(C(=C2CCN(CC=C(C)C)CC2)c2ccccc2)cc1,6.0088
Cc1ccc([C@H](N)[C@@H]2CCN2C(c2ccccc2)c2ccccc2)cc1F,6.8239
N[C@@H](c1cc(F)cc(F)c1)[C@@H]1CCN1C(c1ccccc1)c1ccccc1,5.3963
CCCCCCC(c1ccccc1)N1CC[C@H]1[C@H](N)c1cccc(Cl)c1,5.5444
COC(=O)/C=C1/CCN(CC2CCCCN2C(=O)Cc2ccc(Cl)c(Cl)c2)C1,8.3279
N[C@H](c1cccc(Cl)c1)[C@@H]1CCN1C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,5.4880
N[C@H](c1cccc(Cl)c1)[C@@H]1CCN1C(c1ccc(Br)cc1)c1ccc(Br)cc1,5.8286
CN(C)CC1CCCCN1C(=O)Cc1ccc(Cl)c(Cl)c1,6.9914
O=C(Cc1ccc(Cl)c(Cl)c1)N1CCCCC1CN1CC=CCC1,8.2007
COC(=O)[C@H]1CC[C@@H](CN2CCCC2)N(C(=O)Cc2ccc(Cl)c(Cl)c2)C1,6.5229
N[C@@H](c1cccc(Cl)c1)[C@@H]1CCN1C(c1ccccc1)c1ccccc1,5.9094
O=C1CCN(CC2CCCCN2C(=O)Cc2ccc(Cl)c(Cl)c2)C1,9.6990
O=C(Cc1ccc(Cl)c(Cl)c1)N1CCCCC1CN1CCCO1,7.1612
C=C1CCN(CC2CCCCN2C(=O)Cc2ccc(Cl)c(Cl)c2)C1,7.5376
O=C(Cc1ccc(Cl)c(Cl)c1)N1CCCCC1CN1CCCCC1,6.5850
N[C@@H](c1ccc(Oc2ccccc2)cc1)[C@@H]1CCN1C(c1ccccc1)c1ccccc1,5.5572
CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2cccc(C(F)(F)F)c2)cc1,5.2716
N#C/C=C1/CCN(CC2CCCCN2C(=O)Cc2ccc(Cl)c(Cl)c2)C1,9.9208
N[C@@H](c1cccc(F)c1)[C@@H]1CCN1C(c1ccccc1)c1ccccc1,6.0013
O=C(Cc1ccc(Cl)c(Cl)c1)N1CCCCC1CN1CCCC1,7.9586
O=C(Cc1ccc(Cl)c(Cl)c1)N1CCC[C@@H](O)[C@H]1CN1CCCC1,6.2291
CCCC(c1ccccc1)N1CC[C@H]1[C@H](N)c1cccc(Cl)c1,5.1444
CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2ccc(Cl)cc2)cc1,5.0788
O=C1CCCN(C(=O)Cc2ccc(Cl)c(Cl)c2)C1CN1CCCC1,5.6990
CC[C@H](C)[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)O,8.3372
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@@H]1C(=O)N[C@@H](CCCCN)C(N)=O,7.9125
CC[C@H](C)[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@@H]1C(=O)N[C@@H](CCCCN)C(N)=O,6.7959
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](CCCN=C(N)N)C(N)=O,5.2518
CC[C@H](C)[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@@H]1C(=O)N[C@@H](CCCCN)C(=O)O,7.3799
CC[C@H](C)[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@@H]1C(=O)O,9.4559
CC[C@H](C)[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@H](CCCN=C(N)N)C(=O)N[C@@H](CCCCN)C(N)=O,7.6540
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCN=C(N)N)C(N)=O,7.2197
CC[C@H](C)[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@@H](N)Cc1ccc(O)cc1)C(N)=O,7.1002
CC[C@H](C)[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](CCCN=C(N)N)C(N)=O,7.9706
CC[C@H](C)[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@@H]1C(N)=O,8.0000
CC[C@H](C)[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCCN)C(N)=O,9.9050
CC[C@H](C)[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@@H]1C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)O,9.6383
Oc1ccc2c3c1O[C@H]1c4[nH]c5c(c4C[C@@]4(O)[C@@H](C2)N(CC2CC2)CC[C@]314)C[C@@]1(O)[C@H]2Cc3ccc(O)c4c3[C@@]1(CCN2CC1CC1)[C@H]5O4,9.5528
CC[C@H](C)[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@H](CCCN=C(N)N)C(N)=O,7.1847
CC[C@H](C)[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)O,9.0540
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)O,6.6284
C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,8.0000
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCN=C(N)N)C(N)=O,6.7889
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)O,8.4714
CCC(=O)NCCc1ccc2[nH]c3c(c2c1)C[C@@]1(O)C2Cc4ccc(O)c5c4[C@@]1(CCN2CC1CC1)[C@H]3O5,8.8041
CCCCC(=N)NCCc1ccc2[nH]c3c(c2c1)C[C@@]1(O)C2Cc4ccc(O)c5c4[C@@]1(CCN2CC1CC1)[C@H]3O5,9.5229
COc1cc(/C=C/C(=O)N2CCC(n3c(O)nc4ccccc43)CC2)c([N+](=O)[O-])cc1OC,5.3947
O=C(OCc1cc2c(cc1[N+](=O)[O-])OCO2)N1CCC2(CC1)C(=O)NCN2c1ccccc1,5.2950
O=C(OCc1ccc2nsnc2c1)N1CCC2(CC1)C(=O)NCN2c1ccccc1,5.8297
CCCCNC(=O)NCCc1ccc2[nH]c3c(c2c1)C[C@@]1(O)C2Cc4ccc(O)c5c4[C@@]1(CCN2CC1CC1)[C@H]3O5,8.1986
O=C(OCc1cccc(Oc2ccccc2)c1)N1CCC2(CC1)C(=O)NCN2c1ccccc1,5.7423
CC(C)C1CCC(N2CCC(N3C(=O)N[C@@H]4CCCC[C@H]43)CC2)CC1,5.2068
O=[N+]([O-])c1cc2c(cc1CN1CCC(n3c(O)nc4ccccc43)CC1)OCO2,7.4318
O=[N+]([O-])c1cc2c(cc1CN1CC=C(n3c(O)nc4ccccc43)CC1)OCO2,6.5072
