SMILES,pIC50
Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccccc1,7.2209
Cc1c(C=O)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,5.4908
Cc1c(COc2cccc(Cl)c2)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,7.0969
Fc1ccc(-c2[nH]c(-c3ccc(F)cc3)c3c2C2CCC3CC2)cc1,9.9208
CC(=O)c1cc(-c2ccc(S(C)(=O)=O)cc2)n(-c2ccc(F)cc2)c1C,5.7916
Cc1ccc(-n2c(C)ccc2-c2ccc(S(C)(=O)=O)cc2)cc1,7.3990
NS(=O)(=O)c1ccc(-n2cccc2-c2ccc(F)cc2)cc1,7.8499
Cc1c(CN(C)C)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,4.0000
CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12,6.9914
Cc1c(Br)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,7.6995
CS(=O)(=O)c1ccc(-c2cccn2-c2ccc(F)cc2)cc1,4.9914
Cc1c(CO)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,5.4106
Cc1c(COc2ccc(Cl)cc2)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,7.5229
COc1ccc(-c2ccc(CCC(=O)O)n2-c2ccc(C(C)=O)cc2)cc1,5.4785
Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)c(F)c1,6.6010
Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,7.2209
Cc1c(C(=O)C(F)(F)F)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,6.9204
CS(=O)(=O)c1ccc(-n2cccc2-c2ccc(F)cc2)cc1,6.2912
Cc1c(C#N)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,6.1249
Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1C1CCCCC1,6.2840
Cc1c(S(=O)(=O)C(F)(F)F)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,7.2218
Cc1c(C(=O)c2ccccc2)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,5.9907
Cc1c(C(O)C(F)(F)F)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,5.8408
Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(C(F)(F)F)cc1,7.0985
Fc1ccc(-c2[nH]c(-c3ccc(F)cc3)c3c2C2CCC3C2)cc1,10.0969
CC(=O)c1ccc(-n2c(C)ccc2-c2ccc(S(C)(=O)=O)cc2)cc1,5.5411
Cc1c(Cl)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,7.3005
Cc1c(CC(F)(F)F)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,6.8519
CC(=O)OCc1cc(-c2ccc(S(C)(=O)=O)cc2)n(-c2ccc(F)cc2)c1C,6.3289
CN(C)S(=O)(=O)c1ccc(-n2c(CCC(=O)O)ccc2-c2ccc(F)cc2)cc1,5.1249
CC1(C)C(=O)C(c2ccc(F)cc2)=C1c1ccc(S(C)(=O)=O)cc1,8.3010
C=C1CC(c2ccc(S(C)(=O)=O)cc2)=C1c1ccccc1,8.9208
C=C1C(c2ccccc2)=C(c2ccc(S(C)(=O)=O)cc2)C1(C)C,8.6576
COC(=O)c1cc2cc(S(C)(=O)=O)ccc2n1C(=O)c1ccc(Cl)cc1,6.1367
CCCCSc1ccccc1OC(C)=O,4.4685
C[C@H](C(=O)O)c1ccc(C[C@@H]2CCC[C@H]2O)cc1,5.6990
CCCCCCC[Se]c1ccccc1OC(C)=O,4.9208
CCCCC#CCSc1ccccc1OC(=O)CBr,4.5850
CCCCCCCSc1ccccc1OC(C)=O,5.6990
CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)C2)cc1,6.9586
CC1(C)C(=O)C(c2ccccc2)=C1c1ccc(S(C)(=O)=O)cc1,8.5528
CC(C(=O)O)c1ccc(CC2CCCC2O)cc1,4.6576
CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,6.4828
CC1(C)C(c2ccc(S(C)(=O)=O)cc2)=C(c2ccccc2)/C1=N/O,7.2147
CS(=O)(=O)c1ccc(-c2cc(Br)sc2-c2ccc(F)cc2)cc1,7.7764
CCCCC#CCSc1ccccc1OC(C)=O,6.0969
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,6.1003
CCSc1ccccc1OC(C)=O,3.6990
CCCCCC#CCSc1ccccc1OC(C)=O,5.1549
CS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)CC3(CC3)C2)cc1,8.1200
CC(=O)Oc1ccccc1SCCc1ccccc1,4.0000
CC(=O)Oc1ccccc1SCCCCCBr,5.0223
CC1(C)C(c2ccc(S(C)(=O)=O)cc2)=C(c2ccccc2)C1O,6.2757
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,7.0996
CCCCCSc1ccccc1OC(C)=O,5.3010
CC(=O)Oc1ccccc1SCCCCCCBr,4.9208
CSc1ccccc1OC(C)=O,3.6021
CSc1ccccc1OC(=O)CBr,3.2924
CCCSc1ccccc1OC(C)=O,4.1805
CCCC/C=C/CSc1ccccc1OC(C)=O,4.9586
CCCC#CCSc1ccccc1OC(C)=O,5.5229
CCCCCCSc1ccccc1OC(C)=O,5.4559
CC(=O)Oc1ccccc1SCCCCCCI,5.0000
CC(=O)Oc1ccccc1C(=O)O,4.7033
CSc1ccccc1OC(=O)CCl,3.4437
CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,4.8697
C[C@H](C(=O)O)c1ccc(C[C@H]2CCC[C@@H]2O)cc1,6.4659
CSc1ccccc1OC(=O)C(F)(F)F,3.5850
CC(=O)Oc1ccccc1SCc1ccccc1,3.6021
CCCC#CCCSc1ccccc1OC(C)=O,5.1871
CC1(C)C(=O)C(c2ccc(S(C)(=O)=O)cc2)=C1c1ccccc1,7.0177
COC(=O)c1cc2cc(S(C)(=O)=O)ccc2n1Cc1ccc(Cl)cc1,5.3665
CC(=O)Oc1ccccc1SCCCCCC(=O)O,4.3010
CC#CCSc1ccccc1OC(C)=O,4.6990
CCC#CCSc1ccccc1OC(C)=O,5.3010
CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)C23CCCC3)cc1,7.9208
CS(=O)(=O)c1ccc(C2=C(c3ccc(F)c(F)c3)C(=O)OC2)cc1,6.3188
CC(=O)OCCCCCSc1ccccc1OC(C)=O,4.3010
C#CCSc1ccccc1OC(C)=O,4.6021
CCCCOCCSc1ccccc1OC(C)=O,5.1549
CCCCC#CC(C)Sc1ccccc1OC(C)=O,5.1549
COC(=O)c1cc2cc(S(C)(=O)=O)ccc2n1Cc1ccc(Br)cc1,5.4295
COC(=O)c1cc2cc(S(C)(=O)=O)ccc2n1Cc1ccc(OC)cc1,5.1989
COc1ccc(NNC(=O)c2ccc(Cl)cc2)cc1,6.8861
COc1ccc(C(=O)NNc2ccc(Cl)cc2)cc1,6.3279
Cc1cccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)n1,6.3784
Cn1cc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)c2ccccc21,5.9593
CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cccs2)cc1,6.3289
Cc1cc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)no1,6.3886
CS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)CCC2)cc1,7.5850
COCc1ccc(C2=C(c3ccc(S(C)(=O)=O)cc3)CCC2)cc1,5.1802
COc1ccc(-c2cc(F)c(F)cc2-c2ccc(S(C)(=O)=O)cc2)cc1F,7.6789
CN(C)c1ccc(-c2cc(F)c(F)cc2-c2ccc(S(N)(=O)=O)cc2)cc1Cl,8.2209
N#Cc1cc(-c2ccc(F)cc2)n(-c2ccc(S(N)(=O)=O)cc2)n1,6.4685
NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Br)s2)cc1,7.9205
NS(=O)(=O)c1ccc(C2=C(c3ccc(OC(F)(F)F)cc3)CC3(CC3)C2)cc1,6.8880
CCOc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1,8.3979
O=C(NNc1ccc(Cl)cc1)c1ccc(Cl)cc1,6.4685
O=C(NNc1ccc(Cl)cc1)c1ccccc1,6.2757
CN(C)c1ccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)cc1F,6.4807
COc1cc(F)cc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)c1,6.3386
CN(C)c1c(Cl)cc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)cc1Cl,6.8519
Cc1cncc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)c1,5.7424
Cc1ccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)nc1,6.1383
CS(=O)(=O)c1ccc(-c2cc(Cl)c(Cl)cc2-c2ccc(F)cc2)cc1,6.6199
Cc1ccncc1-c1cc(F)c(F)cc1-c1ccc(S(C)(=O)=O)cc1,6.7700
COc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,8.0969
CN(C)c1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,8.3279
Cc1c(C(F)(F)F)nn(-c2ccc(S(N)(=O)=O)cc2)c1-c1ccc(Cl)cc1,7.6576
CS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(F)cc2)cc1,7.0000
Cc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1,7.7959
CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccc(N)cc2)cc1,6.7282
COc1ccc(C2=C(c3ccc(S(N)(=O)=O)cc3)CCC2)cc1,8.6990
Cc1ccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)cc1,6.7959
CS(=O)(=O)c1ccc(-n2cc(C#N)nc2-c2ccc(Cl)cc2)cc1,6.6391
CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cccc3c2OCO3)cc1,6.3289
CC1(C)CC(c2ccc(Cl)cc2)=C(c2ccc(S(C)(=O)=O)cc2)C1,8.1525
CS(=O)(=O)c1ccc(C2=C(c3ccc(F)c(Cl)c3)CCC2)cc1,7.5214
Cc1ccc(-c2c(C#N)cnn2-c2ccc(S(N)(=O)=O)cc2)cc1,7.1192
Cc1cc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc2c1OCO2,7.2820
NS(=O)(=O)c1ccc(C2=C(c3ccc(F)c(F)c3)CC3(CC3)C2)cc1,8.5214
Cc1ncc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,7.2924
Clc1ccc(-c2nn(-c3ccccc3)c3c2CCCC3)cc1,6.2076
COc1ccc(-c2nn(-c3ccccc3)c3c2CCCCC3)cc1,5.9066
Cc1cccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)c1,7.2200
